id,pattern_type,participant_id,sentiment_score,word_count,char_count,negation_count,question_mark,exclamation_mark,subordinator_count,complexity_index
234,trick_question,54,-0.67,7,38,2,0,0,1,11.324
235,trick_question,55,-0.36,10,36,2,0,0,1,9.838
236,trick_question,56,-0.332,8,39,2,0,0,2,11.226
237,trick_question,57,-0.17,8,38,2,0,0,1,9.893
238,trick_question,58,-0.175,9,43,2,0,0,1,10.877
239,trick_question,59,-0.541,7,38,2,0,0,1,10.508
240,trick_question,60,-0.24,7,44,1,0,0,2,10.468
241,trick_question,1,-0.199,8,39,1,0,0,1,10.435
242,trick_question,2,-0.268,8,40,1,0,0,1,9.554
243,trick_question,3,-0.42,8,45,1,0,0,1,11.251
244,trick_question,4,-0.312,8,41,2,0,0,1,12.8
245,trick_question,5,-0.274,8,37,2,0,0,0,10.365
246,trick_question,6,-0.347,8,40,2,0,0,1,10.64
247,trick_question,7,-0.282,8,41,1,0,0,1,11.267
248,trick_question,8,-0.284,9,39,1,0,0,1,9.284
249,trick_question,9,-0.497,7,36,2,0,0,1,10.97
250,trick_question,10,-0.418,9,37,2,0,0,1,11.901
251,trick_question,11,-0.158,6,42,1,0,0,1,10.763
252,trick_question,12,-0.443,9,44,2,0,0,1,9.298
253,trick_question,13,-0.339,8,37,2,0,0,1,10.944
254,trick_question,14,-0.595,9,38,2,0,0,1,10.863
255,trick_question,15,-0.293,8,37,1,0,0,1,10.982
256,trick_question,16,-0.873,7,39,1,0,0,2,11.015
257,trick_question,17,-0.635,8,42,2,0,0,1,11.976
258,trick_question,18,-0.857,8,45,2,0,0,1,9.316
259,trick_question,19,-0.428,8,41,1,0,0,1,12.512
260,trick_question,20,-0.506,9,39,1,0,0,1,9.913
261,trick_question,21,-0.363,8,40,1,0,0,1,9.81
262,trick_question,22,-0.25,9,39,2,0,0,1,11.187
263,trick_question,23,-0.506,7,41,1,0,0,1,10.771
264,trick_question,24,-0.182,6,38,2,0,0,1,10.034
265,trick_question,25,-0.258,9,41,1,0,1,1,11.901
266,trick_question,26,-0.49,7,44,1,0,0,1,11.711
267,trick_question,27,-0.212,9,34,2,0,0,2,9.809
268,trick_question,28,-0.172,8,36,1,0,0,1,12.296
269,trick_question,29,-0.105,7,39,1,0,0,2,9.666
270,trick_question,30,-0.564,7,39,2,0,0,1,10.886
271,visual_interference,31,-0.171,4,15,0,0,0,0,2.541
272,visual_interference,32,0.168,4,17,0,0,0,0,3.17
273,visual_interference,33,-0.059,3,17,0,0,0,0,4.533
274,visual_interference,34,-0.263,5,17,0,0,0,0,2.179
275,visual_interference,35,-0.037,3,14,0,0,0,0,4.874
276,visual_interference,36,-0.361,2,8,0,0,0,1,3.297
277,visual_interference,37,0.013,3,15,1,0,0,0,3.886
278,visual_interference,38,0.047,3,16,0,0,0,0,2.43
279,visual_interference,39,0.188,3,15,0,0,0,0,1.894
280,visual_interference,40,0.142,3,14,1,0,0,1,3.023
281,visual_interference,41,-0.07,3,16,0,0,0,0,2.603
282,visual_interference,42,0.054,3,15,0,0,0,0,2.995
283,visual_interference,43,-0.0,3,14,0,0,0,0,1.828
284,visual_interference,44,0.07,2,14,0,0,0,0,3.316
285,visual_interference,45,0.066,3,17,0,0,0,1,3.151
286,visual_interference,46,-0.239,4,15,0,0,0,0,2.655
287,visual_interference,47,-0.27,2,14,0,0,0,0,3.459
288,visual_interference,48,0.092,4,11,0,0,0,0,2.606
289,visual_interference,49,-0.029,3,9,0,0,0,0,4.161
290,visual_interference,50,-0.044,2,6,0,0,0,1,2.308
291,visual_interference,51,0.517,4,12,0,0,0,0,3.192
292,visual_interference,52,-0.205,3,15,0,0,0,0,2.952
293,visual_interference,53,-0.056,2,19,0,0,0,0,3.625
294,visual_interference,54,-0.195,2,13,0,0,0,0,3.674
295,visual_interference,55,-0.113,3,16,0,0,0,0,3.065
296,visual_interference,56,0.122,3,8,0,0,0,0,4.036
297,visual_interference,57,0.175,3,16,0,0,0,0,2.661
298,visual_interference,58,-0.211,3,15,0,0,0,0,1.579
299,visual_interference,59,-0.024,3,15,0,0,0,0,3.422
300,visual_interference,60,-0.432,2,19,0,0,0,0,3.618
301,visual_interference,1,0.271,3,13,0,0,0,0,1.899
302,visual_interference,2,-0.081,4,14,0,0,0,0,1.798
303,visual_interference,3,-0.132,4,14,0,0,0,0,5.213
304,visual_interference,4,-0.35,4,15,0,0,0,0,3.914
305,visual_interference,5,0.04,4,18,0,0,0,0,2.446
306,visual_interference,6,-0.054,3,16,1,0,0,0,2.851
307,visual_interference,7,-0.272,3,16,0,0,0,0,2.697
308,visual_interference,8,-0.367,2,15,1,0,0,0,2.184
309,visual_interference,9,-0.036,3,14,1,0,0,0,3.298
310,visual_interference,10,-0.141,4,20,0,0,0,0,3.266
311,visual_interference,11,0.37,4,15,0,0,0,0,1.192
312,visual_interference,12,-0.13,3,21,0,0,0,0,4.173
313,visual_interference,13,0.039,1,20,0,0,0,0,1.202
314,visual_interference,14,0.004,3,21,0,0,0,0,2.819
315,visual_interference,15,-0.375,3,17,1,0,0,0,1.844
316,visual_interference,16,-0.365,3,20,0,0,0,0,3.405
317,visual_interference,17,-0.105,4,14,0,0,0,0,4.9
318,visual_interference,18,-0.233,3,14,0,0,0,0,4.121
319,visual_interference,19,0.084,4,14,0,0,0,0,0.83
320,visual_interference,20,-0.18,4,12,0,0,0,0,3.486
321,visual_interference,21,-0.067,3,17,1,0,0,1,1.901
322,visual_interference,22,-0.409,2,15,0,0,0,1,2.788
323,visual_interference,23,-0.046,2,16,0,0,0,0,3.237
324,visual_interference,24,-0.481,3,19,0,0,0,1,3.12
325,visual_interference,25,-0.082,3,15,0,0,0,0,1.713
326,visual_interference,26,-0.47,2,17,0,0,0,0,2.122
327,visual_interference,27,-0.145,4,12,0,0,0,0,2.202
328,visual_interference,28,-0.273,4,21,0,0,0,0,3.323
329,visual_interference,29,-0.31,3,20,0,0,0,0,2.416
330,visual_interference,30,0.028,3,21,1,0,0,0,3.688
331,visual_interference,31,0.003,3,21,0,0,0,0,3.639
332,visual_interference,32,0.011,3,14,0,0,0,0,4.474
333,visual_interference,33,0.097,3,17,0,0,0,0,2.506
334,visual_interference,34,0.02,3,11,0,0,0,0,2.85
335,visual_interference,35,-0.206,3,13,0,0,0,0,0.647
336,visual_interference,36,0.143,4,14,0,0,0,0,3.417
337,visual_interference,37,-0.058,4,11,1,0,0,0,1.024
338,visual_interference,38,-0.228,3,12,0,0,0,0,4.334
339,visual_interference,39,-0.211,3,10,0,0,0,0,2.96
340,visual_interference,40,-0.181,4,19,1,0,0,0,3.06
341,visual_interference,41,-0.257,2,13,0,0,0,0,2.57
342,visual_interference,42,-0.419,2,18,0,0,0,0,2.15
343,visual_interference,43,-0.075,3,11,0,0,0,0,2.078
344,visual_interference,44,-0.376,3,14,0,0,0,1,3.63
345,visual_interference,45,-0.292,4,12,0,0,0,0,3.818
346,visual_interference,46,0.14,3,17,0,0,0,0,3.97
347,visual_interference,47,-0.104,3,15,0,0,0,0,3.924
348,visual_interference,48,-0.04,3,17,0,0,0,0,2.43
349,visual_interference,49,0.214,3,18,0,0,0,1,1.508
350,visual_interference,50,-0.262,4,14,0,0,0,0,2.109
351,visual_interference,51,0.237,2,13,0,0,0,0,2.22
352,visual_interference,52,0.016,3,17,0,0,0,0,1.562
353,visual_interference,53,-0.136,4,18,0,0,0,0,3.873
354,visual_interference,54,-0.141,5,13,0,0,0,0,4.253
355,visual_interference,55,-0.259,2,17,0,0,0,1,2.25
356,visual_interference,56,-0.093,4,14,0,0,0,0,2.11
357,visual_interference,57,-0.152,3,20,0,0,0,0,3.59
358,visual_interference,58,-0.329,3,17,0,0,0,0,1.975
359,visual_interference,59,0.03,5,19,0,0,0,0,3.349
360,visual_interference,60,-0.141,3,15,0,0,0,0,1.949
