id,text,pattern_type,source,brand_or_site,language,notes
133,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
134,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
135,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
136,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
137,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
138,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
139,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
140,Your discount is about to expire,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
141,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
142,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
143,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
144,Your discount is about to expire,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
145,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
146,Limited time offer,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
147,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
148,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
149,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
150,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
151,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
152,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
153,Limited time offer,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
154,Only 1 item left in stock!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
155,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
156,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
157,Only 1 item left in stock!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
158,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
159,Only 1 item left in stock!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
160,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
161,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
162,Only 1 item left in stock!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
163,Limited time offer,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
164,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
165,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
166,Your discount is about to expire,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
167,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
168,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
169,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
170,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
171,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
172,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
173,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
174,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
175,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
176,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
177,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
178,Limited time offer,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
179,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
180,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
181,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
182,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
183,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
184,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
185,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
186,Continue without declining protection,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
187,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
188,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
189,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
190,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
191,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
192,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
193,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
194,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
195,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
196,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
197,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
198,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
199,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
200,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
201,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
202,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
203,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
204,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
205,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
206,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
207,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
208,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
209,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
210,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
211,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
212,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
213,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
214,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
215,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
216,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
217,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
218,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
219,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
220,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
221,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
222,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
223,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
224,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
225,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
226,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
227,Continue without declining protection,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
